sentenceID,sentence,label,departure,destination
1,Réserver un billet pour Nantes,TRIP_ORDER,NULL,Nantes
2,Aller à Lyon pour une réunion,TRIP_ORDER,NULL,Lyon
3,This is not French,NOT_FRENCH,NULL,NULL
4,Réserver un hôtel à Bordeaux,NOT_TRIP,NULL,NULL
5,Visiter la Tour Eiffel,TRIP_ORDER,NULL,Paris
6,Prendre le train pour Marseille,TRIP_ORDER,NULL,Marseille
7,Je veux aller de Brest à Lyon,TRIP_ORDER,Brest,Lyon
8,je suis à Marseille et je veux aller à Rennes,TRIP_ORDER,Marseille,Rennes
9,Are you sure about that ?,NOT_FRENCH,NULL,NULL
10,Je dois me rendre à Nice demain,TRIP_ORDER,NULL,Nice
11,Can you help me with that?,NOT_FRENCH,NULL,NULL
12,Rendez-vous à Marseille pour un concert,TRIP_ORDER,NULL,Marseille
13,J'aimerais savoir où se trouve la gare,NOT_TRIP,NULL,NULL
14,Organiser un voyage à Toulouse,TRIP_ORDER,NULL,Toulouse
15,I want to go from Lyon to Nice,NOT_FRENCH,NULL,NULL
16,J'ai réservé un vol pour Montpellier,TRIP_ORDER,NULL,Montpellier
17,Je vais à la plage ce weekend,NOT_TRIP,NULL,NULL
18,Récupérer un colis à Nantes,NOT_TRIP,NULL,NULL
19,Aller à Strasbourg pour les fêtes,TRIP_ORDER,NULL,Strasbourg
20,Je pars de Tours pour aller à Nice,TRIP_ORDER,Tours,Nice
21,Démarrer de Lyon pour rejoindre Marseille,TRIP_ORDER,Lyon,Marseille
22,Visiter la cathédrale à Reims,NOT_TRIP,NULL,NULL
23,Prendre le train de Lille à Toulouse,TRIP_ORDER,Lille,Toulouse
24,Je veux aller de Bordeaux à Bordeaux,NOT_TRIP,NULL,NULL
25,Je dois prendre un vol de Nantes à Nice,TRIP_ORDER,Nantes,Nice
26,Je vais de Marseille à Lyon pour un séminaire,TRIP_ORDER,Marseille,Lyon
27,Can you tell me the time?,NOT_FRENCH,NULL,NULL
28,Je veux savoir comment aller à la gare,NOT_TRIP,NULL,NULL
29,Réserver une chambre d'hôtel à Paris,NOT_TRIP,NULL,NULL
30,Je pars de Lille à Strasbourg,TRIP_ORDER,Lille,Strasbourg
31,Visiter le Mont Saint-Michel,NOT_TRIP,NULL,NULL
32,J'ai besoin d'un train pour Avignon,TRIP_ORDER,NULL,Avignon
33,I am looking for a restaurant,NOT_FRENCH,NULL,NULL
34,Rendre visite à des amis à Grenoble,TRIP_ORDER,NULL,Grenoble
35,Je vais à Bruxelles ce week-end,NOT_FRENCH,NULL,NULL
36,Je voyage de Nice à Lyon,TRIP_ORDER,Nice,Lyon
37,Aller chercher un colis à Toulouse,NOT_TRIP,NULL,NULL
38,Réserver un billet de train pour Montpellier,TRIP_ORDER,NULL,Montpellier
39,Je suis à Angers et je veux aller à Lille,TRIP_ORDER,Angers,Lille
40,How do I get to the museum?,NOT_FRENCH,NULL,NULL
41,Je vais d'Bourges à Rennes pour un meeting,TRIP_ORDER,Bourges,Rennes
42,Organiser un voyage à Marseille,TRIP_ORDER,NULL,Marseille
43,Je veux savoir où est la bibliothèque,NOT_TRIP,NULL,NULL
44,Prendre un bus de Nantes à Lyon,TRIP_ORDER,Nantes,Lyon
45,Je suis à la maison,NOT_TRIP,NULL,NULL
46,Je pars de Strasbourg pour aller à Mulhouse,TRIP_ORDER,Strasbourg,Mulhouse
47,Je vais au cinéma ce soir,NOT_TRIP,NULL,NULL
48,Récupérer un ami à l'aéroport de Bordeaux,NOT_TRIP,NULL,NULL
49,Je vais à Toulouse pour un événement,TRIP_ORDER,NULL,Toulouse
